Session,EventRene,Ave_Surprised,Ave_Angry,Ave_Disgusted,Ave_Happy,Ave_Sad,Ave_Scared
Bram_C,All,1.0304106609763464e-05,0.0009079020051947,0.0032193765083919725,8.40578356047521e-08,0.1797224410261995,8.496913882111684e-05
Bram_C,BS,1.335505410006639e-10,0.005348332897733253,0.001372460267004596,1.473342497200768e-07,0.1352382973837532,0.00025849948958032597
Bram_C,CG,2.7950387758766687e-12,0.0013898765215225404,0.001340000361210835,2.547237900264434e-07,0.17525230921086837,2.7701571174399505e-06
Bram_C,FT,3.2481419686908956e-06,0.005267425916422865,0.0005500846951127748,3.3549906973192115e-08,0.1173580636732398,0.0004434180264497021
Bram_C,HF,1.175168122878075e-10,0.003522740102339731,0.001677912069169341,5.857691902576033e-08,0.18257473857635703,6.910905658398754e-05
Bregjie_C,All,0.011305404408684818,0.00017487034368297093,0.0018016105334421855,0.0,0.008360580314942249,0.0035159400451591715
Bregjie_C,BS,0.011067304099100282,0.0015697751483629465,0.00010481737137652381,0.45104276744555943,8.164398833206317e-07,0.0038882511640374985
Bregjie_C,CG,0.01034534332442923,0.0006804743778233159,6.750837172213199e-05,0.010627342758011197,0.028107616414283727,0.01067262736969574
Bregjie_C,FT,3.104182909863158e-11,0.00010530604208113102,4.9411743180932354e-05,0.0,0.007565326115926594,1.3230003555593858e-06
Bregjie_C,HF,8.033172992620837e-10,0.001007102381744043,0.00013548521839731748,4.958585773454088e-10,0.0038641808827935297,1.1998639867211406e-08
Danique_C,All,0.14381381421103587,0.0008798326686997676,8.030454014403219e-05,0.0009643761924222593,0.00013940546946394704,0.021056292215838796
Danique_C,BS,0.012605002313729971,9.391691911806543e-05,1.0343683482396497e-06,0.006163959935308318,0.000145411996878537,0.00015554863095753747
Danique_C,CG,0.0011508763778802827,7.631205087962705e-05,4.413785679350376e-05,0.0009429933308116318,0.0003992341868584732,3.3689606250616497e-05
Danique_C,FT,0.07206222020797895,0.002006115299562679,4.6145350977175484e-05,3.02534674857623e-08,0.002108930275286696,0.0048904817683413735
Danique_C,HF,0.04335109630782066,0.0001674621889659509,7.2592054310484424e-06,0.007392115616606796,1.1642434941845025e-05,0.005036081953323605
Gijs_C,All,5.594736319855705e-05,0.5752187938682748,0.00024035860237768967,1.541163622733249e-05,0.0018813554549560513,0.0
Gijs_C,BS,0.0002765470647869367,0.4345834368089062,0.00029147672016452305,1.006685684889894e-05,0.0013467578957005414,0.0
Gijs_C,CG,1.717518443284775e-06,0.26138370604708505,0.0018255195494371896,5.5640791570113906e-08,0.012929105785517253,0.0
Gijs_C,FT,0.00012041855306749664,0.49465245297354066,0.0003610528643289719,2.4267217243004632e-05,0.006849646186600076,0.0
Gijs_C,HF,2.1102631108357027e-05,0.44967928115390504,0.0036266195408133544,4.6740739968990904e-07,0.019652031725039116,0.0
Jeroen_C,All,2.793122507708378e-09,0.048283746411371044,0.0013608888198119065,2.3911035297645713e-08,0.049725194827371595,0.0
Jeroen_C,BS,0.00820288344400501,0.04104354970859898,0.0026796881142226786,3.0914128885960235e-08,0.0013133465986492458,0.01237557892467526
Jeroen_C,CG,0.00016451101380198646,0.030409936241241903,0.002255779033154372,3.96309951073959e-08,0.015026707747037722,0.004631934451010795
Jeroen_C,FT,1.543597489815309e-05,0.034318777672915204,0.0013087196983206605,2.4577354126100732e-08,0.03219028671808617,0.0
Jeroen_C,HF,0.0005574677779532209,0.062314783203728956,0.009910581347807205,2.8150957033977203e-08,0.025267776233242677,2.0926732461701287e-09
Joep_C,All,0.006166830035855307,0.011844633667817924,0.0012016481909737067,1.3548144095369232e-09,0.007713369653389264,0.0019340330656848679
Joep_C,BS,0.00291464168744906,0.00326350139563794,0.0018678061551725517,0.0001592949660010623,0.003706599215159187,0.0014354792595318963
Joep_C,CG,0.0004382554941113706,0.0011802115723131275,0.0010787918173033872,7.716523227351543e-05,0.0025793633518794005,0.0005195650301192317
Joep_C,FT,0.0026078319384347753,0.01297153088835041,0.0005759679358132021,3.079940688097224e-05,0.004448902899440637,0.0002739390001936533
Joep_C,HF,0.004715294678728073,0.006178023193176887,0.0015428485036750215,0.0,0.00899725019278859,0.002809899807074057
Juur_C,All,0.0013798485818316785,0.08437009252701959,0.02600624167426388,8.697902507230426e-06,0.007383994105520356,0.005079307307330648
Juur_C,BS,2.803496174575004e-07,0.061461517120302935,0.023493701731781915,1.1313899656303573e-06,0.002191767816695901,1.2498411828112397e-05
Juur_C,CG,6.927623700657651e-08,0.036390087508704524,0.027125341673686274,0.00399012705316642,0.001512665910280079,1.4952942817141965e-05
Juur_C,FT,2.5617462736028377e-07,0.08867547124879158,0.01545061459092909,1.033828422785207e-06,0.02251962809519819,1.1420654045113727e-05
Juur_C,HF,3.1296076545709205e-07,0.05014624355813994,0.014218163081605797,1.2629967998006195e-06,0.022631039257211185,1.3952266345849387e-05
Klaas_C,All,8.263665678905561e-05,0.011678580459200104,0.00048344828130059966,4.990150352868077e-05,0.016052974945898947,0.001031596883932345
